סמל היישוב,שם יישוב,מחוז,נפה,צורת יישוב,מעמד מוניציפלי,אזור טבעי,אוכלוסייה - סך הכל,מזה: יהודים ואחרים,מזה: יהודים,מזה: ערבים,אשכול רשויות מקומיות
472,אבו גוש,ירושלים,ירושלים,יישובים לא יהודיים 9999-5000 תושבים,מועצה מקומית,הרי יהודה,"7,769",86,68,"7,683",
473,אבו סנאן,הצפון,עכו,יישובים לא יהודיים 19999-10000 תושבים,מועצה מקומית,אזור נהרייה,"14,307",29,13,"14,278",
1342,אבו קורינאת (יישוב),הדרום,באר שבע,יישובים כפריים אחרים לא יהודיים,נווה מדבר,אזור באר שבע,"1,994",-,-,"1,994",אשכול רשויות נגב מזרחי        
1375,אבו תלול,הדרום,באר שבע,יישובים לא יהודיים 4999-2000 תושבים,נווה מדבר,אזור באר שבע,"2,139",7,1,"2,132",אשכול רשויות נגב מזרחי        
652,אבטין,חיפה,חיפה,יישובים לא יהודיים 4999-2000 תושבים,זבולון,אזור חיפה,"2,887",2,2,"2,885",אשכול רשויות המפרץ            
1275,אבטליון,הצפון,עכו,יישובים קהילתיים,משגב,אזור שפרעם,477,477,458,-,אשכול רשויות בית הכרם הגלילי  
679,אביאל,חיפה,חדרה,מושבים - לרבות כפרים שיתופיים,אלונה,אזור חדרה,791,791,778,-,
1115,אביבים,הצפון,צפת,מושבים - לרבות כפרים שיתופיים,מרום הגליל,גליל עליון מזרחי,474,474,473,-,אשכול רשויות גליל מזרחי       
819,אביגדור,הדרום,אשקלון,מושבים - לרבות כפרים שיתופיים,באר טוביה,אזור מלאכי,816,816,811,-,אשכול רשויות שורק דרומי       
175,אביחיל,המרכז,השרון,מושבים - לרבות כפרים שיתופיים,עמק חפר,מערב השרון,"1,410","1,410","1,369",-,
2052,אביטל,הצפון,יזרעאל,מושבים - לרבות כפרים שיתופיים,הגלבוע,עמק יזרעאל,495,495,495,-,אשכול רשויות הגליל והעמקים    
1070,אביעזר,ירושלים,ירושלים,מושבים - לרבות כפרים שיתופיים,מטה יהודה,שפלת יהודה,864,864,859,-,
1220,אבירים,הצפון,עכו,יישובים קהילתיים,מעלה יוסף,אזור אילון,271,271,255,-,אשכול רשויות גליל מערבי       
