,en_name,district,2020_population
0,Abu Gosh,ירושלים,"7,769"
1,Abu Sanan,הצפון,"14,307"
2,Abu Qurinat (locality),הדרום,"1,994"
3,Abu Talul,הדרום,"2,139"
4,Abtin,חיפה,"2,887"
5,Battalion,הצפון,477
6,Aviel,חיפה,791
7,springs,הצפון,474
8,Avigdor,הדרום,816
9,Avihil,המרכז,"1,410"
10,Avital,הצפון,495
11,Aviazer,ירושלים,864
12,knights,הצפון,271
13,Even Yehuda,המרכז,"14,021"
14,Even Menachem,הצפון,280
15,Sapphire stone,ירושלים,710
16,Ibn Shmuel,הדרום,"2,237"
17,Solid stones,הצפון,740
18,Gems,יהודה והשומרון,"2,080"
19,stone,יהודה והשומרון,255
20,Absalom,הדרום,324
21,Adora,יהודה והשומרון,447
22,mighty,הצפון,280
23,Adamite,הצפון,246
24,cloak,ירושלים,886
25,Thank you,המרכז,"1,405"
26,redness,הצפון,155
27,Fan,הדרום,408
28,Umm al-Fahm,חיפה,"56,776"
29,Umm al-Kutuf,חיפה,"1,151"
30,Um Batin,הדרום,"4,489"
31,an artist,הצפון,468
32,courage,המרכז,829
33,horizons,הדרום,"32,555"
34,Tales of the Hasidim,הצפון,593
35,candle light,הדרום,788
36,Or Yehuda,תל אביב,"36,769"
37,Or Akiva,חיפה,"19,447"
38,light,ירושלים,"1,298"
39,Oron,הדרום,-
40,lights,הדרום,480
41,Ortel,הצפון,349
42,Urim,הדרום,482
43,pine trees,חיפה,61
44,Ornit,יהודה והשומרון,"8,966"
45,bruit,חיפה,558
46,Area,תל אביב,"13,333"
47,Mashgav Employment Zone (Theridion),הצפון,-
48,Achziv Industrial Zone (fillings),הצפון,-
49,Naaman Industrial Zone (fillers),הצפון,-
50,brotherhood,הדרום,322
51,their percentage,הדרום,540
52,Barak estate,הצפון,"2,390"
53,Ahihud,הצפון,912
54,Ahitov,המרכז,"1,081"
55,I will call you,המרכז,"1,404"
56,Ahiezer,המרכז,"1,978"
57,enemies,הדרום,651
58,Eyal,המרכז,534
59,Ayelet Hashahar,הצפון,"1,148"
60,Eylon,הצפון,"1,055"
61,Elon Tavor*,הצפון,-
62,Eilot,הדרום,341
63,Ilanya,הצפון,488
64,Eilat,הדרום,"52,520"
65,iris,המרכז,729
66,Itamar,יהודה והשומרון,"1,285"
67,Strong,הדרום,490
68,firm,ירושלים,60
69,Aksal,הצפון,"14,939"
70,Al Said,הדרום,"6,084"
71,Al-Azi,הדרום,200
72,Al-Arian,חיפה,189
73,Al-Rum,הצפון,415
74,beam,הדרום,943
75,beams,הצפון,411
76,Alon HaGilil,הצפון,"1,144"
77,Alon Mora,יהודה והשומרון,"2,010"
78,Alon Shvut,יהודה והשומרון,"3,071"
79,Aloni father,הצפון,994
80,Aloni Bashan,הצפון,447
81,Aloni Yitzhak,חיפה,300
82,oaks,הצפון,522
83,Eliav,הדרום,603
84,I will,המרכז,"3,484"
85,Eli-ed,הצפון,464
86,Eliphaz,הדרום,148
87,Eliphalet,הצפון,642
88,Elikim,הצפון,928
89,Elyashiv,המרכז,722
90,Elisema,המרכז,"1,205"
91,Almagor,הצפון,417
92,coral,יהודה והשומרון,246
93,Elad,המרכז,"49,167"
94,Eleazar,יהודה והשומרון,"2,487"
95,Alfie Menashe,יהודה והשומרון,"7,997"
96,Alkosh,הצפון,269
97,Elkana,יהודה והשומרון,"3,911"
98,allegiance,הדרום,997
99,Emirs,הצפון,875
100,tilapia,הצפון,443
101,Emtia,הדרום,224
102,Anyam,הצפון,514
103,I will tell,יהודה והשומרון,986
104,Ablein,הצפון,"13,547"
105,channel,הצפון,345
106,avenues,הצפון,"1,500"
107,Afek,הצפון,727
108,Efrat,יהודה והשומרון,"11,405"
109,Arbel,הצפון,748
110,crimson,יהודה והשומרון,134
111,cedar,הדרום,585
112,Ariel,יהודה והשומרון,"19,582"
113,Arsuf,המרכז,184
114,spadix,הדרום,646
115,Ashval,הצפון,139
116,Ashdod,הדרום,"226,153"
117,Ashdot Ya'akov (Ihud),הצפון,"1,016"
