,OBJECTID,Traffic area,TAZ_Number,en_area name,Authority,Inside the city of Jerusalem?,Inside the Jerusalem metropolis?,sector,A total of one until 2020,Additional unit 2020_ 2025,Additional unit 2025_ 2030,Additional unit 2030_ 2035,Addendum y_d 2035_ 2040,Total addition between 2020_2040,A total of one until 2040,Gm_b average 2020,Gm_b average 2025,Gm_b average 2030,Gm_b average 2035,Gm_b average 2040,2020 population projections,Population projections 2025,Population projections 2030,2035 population projections,Population projections 2040,Total students 2020,Total students 2025,Total students 2030,Total students 2035,Total students 2040,Total employed 2020,Total employed 2025,Total employed 2030,Total employed 2035,Total employed 2040,Total Yeshiva students and include 2020,Total Yeshiva students and include 2025,Total Yeshiva students and include 2030,Total yeshiva students and include 2035,Total Yeshiva students including 2040,Higher education students 2020,Higher education students 2025,Higher education students 2030,Higher education students 2035,Higher education students 2040,Shape_Area,Shape__Length,Units per square kilometer - 2020,Units per square kilometer - 2040,Employed per square kilometer - 2020,Employed per square kilometer - 2040
0,1,6006,6006,Neve Ya'akov - commercial center,Jerusalem,1,1,Ultra Orthodox,843.6363636,5.191666667,5.191666667,5.191666667,5.191666667,20.76666667,864.4030303,5.5,5.5,5.5,5.0,5.0,4640.0,4668.554167,4697.108333,4296.056818,4322.015152,576.6152977,727.2305954,877.8458931,1028.461191,1179.076488,519.1790405,541.8490894,559.1602954,578.752101,597.4884496,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,132287.270645142,1488.96685561725,6377.30568848941,6534.28728315627,3924.63339796834,4516.5982084758
1,2,6007,6007,Neve Yaakov Tathon,Jerusalem,1,1,Jewish,932.2322759,8.9,8.9,8.9,8.9,35.6,967.8322759,4.345858482,4.753046388,5.124043797,5.422111171,5.615741724,4051.349543,4473.245364,4868.00699,5199.437405,5435.096094,363.1929236,526.3858473,689.5787709,852.7716946,1015.964618,120.3251981,135.9698494,151.6145007,167.2591521,177.2772365,40.0,40.0,40.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,113146.338439941,1644.15201558494,8239.17316948646,8553.80995306118,1063.44756497683,1566.7960531847
2,3,5807,5807,Ramot - a pool of water,Jerusalem,1,1,Ultra Orthodox,1048.275,0.0,70.0,29.8,30.0,129.8,1178.075,5.761473642,5.773882786,5.776452085,5.799088254,5.717414886,6039.608782,6052.616978,6459.661956,6657.788247,6735.543541,3775.884334,3754.099339,3816.068701,3813.532003,3783.039281,1109.524214,1121.683598,1155.673193,1176.359084,1191.293401,1354.379604,1263.119645,1228.932646,1324.799142,1364.658026,0.0,0.0,0.0,0.0,0.0,515971.974884033,2919.90804639239,2031.65104119386,2283.21509179792,2150.3575155402,2308.83353939475
3,4,5806,5806,Polish highlands,Jerusalem,1,1,Ultra Orthodox,973.0769231,72.9,0.0,0.0,0.0,72.9,1045.976923,6.5,6.5,6.5,6.0,6.0,6325.0,6798.85,6798.85,6275.861538,6275.861538,2534.5,2534.5,2534.5,2534.5,2534.5,570.2855866,649.3696607,663.9901328,676.2364249,684.7821869,2444.146881,2437.366767,2400.374835,2467.554466,2498.234765,0.0,0.0,0.0,0.0,0.0,244490.721160889,2522.24196455356,3980.01575879708,4278.18658325151,2332.54490760293,2800.85143374163
4,5,5802,5802,Ramot - the daily page,Jerusalem,1,1,Jewish,604.5,75.6,0.0,6.0,14.0,95.6,700.1,5.743589744,5.743589744,5.743589744,5.735290132,5.716840012,3472.0,3906.215385,3906.215385,3934.98256,4002.359692,317.2881286,350.1281258,317.6241738,312.0497712,313.6446509,374.738207,387.4605699,387.5695205,392.5354484,400.2218644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,277171.042999268,2364.66663379822,2180.96375962909,2525.87713501461,1352.01066801553,1443.95265850718
5,6,6401,6401,Shuafat Refugee Camp - East,Jerusalem,1,1,Arabs beyond the separation fence,5341.313285,984.1175258,984.1175258,978.3972052,932.42648,3879.058737,9220.372022,5.905616316,5.2,5.2,5.2,5.2,31543.74688,32892.24022,38009.65135,43097.31682,47945.93451,1218.504597,1440.281156,1542.014085,1704.496957,1796.901404,841.3617656,937.468333,1022.570901,1112.801749,1459.104322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,367502.327835083,2527.39284791586,14534.0937470114,25089.2887572066,2289.40526868598,3970.3267475758
6,7,5703,5703,Ramot - Technology Park,Jerusalem,1,1,Jewish,596.8333425,0.0,25.2,0.0,0.0,25.2,622.0333425,4.264171953,4.40659027,4.416161984,4.475644326,4.499758789,2545.0,2630.0,2747.0,2784.0,2799.0,1065.402301,1091.687616,1046.701689,1064.335593,1077.543831,405.8407922,418.0687197,422.475451,485.124147,492.7213601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209624.735351563,2420.73681966241,2847.15132257197,2967.36614339327,1936.03484588478,2350.49246108125
7,8,5706,5706,Ramot - the tree garden,Jerusalem,1,1,Jewish,813.1786575,0.0,0.0,0.0,0.0,0.0,813.1786575,4.376652003,4.687776745,5.028415296,5.433000435,5.884315772,3559.0,3812.0,4089.0,4418.0,4785.0,478.0376762,507.9108204,495.9481885,534.0332476,573.8912766,295.7635992,310.466326,319.826654,337.6866057,356.4861073,28.0,28.0,28.0,28.0,28.0,0.0,0.0,0.0,0.0,0.0,125226.176467896,1573.10050717716,6493.67952002013,6493.67952002013,2361.83526114307,2846.73793734646
8,9,5105,5105,Expanded Sanhdria,Jerusalem,1,1,Ultra Orthodox,798.3046669,179.8,10.5,10.5,10.5,211.3,1009.604667,6.021693066,5.737106971,5.871883981,5.955157517,5.952592452,4807.145677,5611.491103,5804.971907,5949.825667,6009.765119,5217.084445,5458.00399,5516.595922,5575.187853,5633.779785,684.990197,790.1649175,804.8852518,818.1691544,829.4314939,1195.111284,1203.223018,1174.633936,1232.644328,1252.841288,0.0,0.0,0.0,0.0,0.0,383437.674331665,2525.13480909259,2081.96721485819,2633.03460923538,1786.444689333,2163.14553687429
9,10,5210,5210,Kiryat Sanz,Jerusalem,1,1,Ultra Orthodox,754.8485265,0.0,0.0,70.0,0.0,70.0,824.8485265,5.043702943,5.097749215,5.252661285,5.16614698,5.148906407,3807.231735,3848.028484,3964.963631,4261.288724,4247.067863,1217.488666,1357.977332,1498.465998,1638.954664,1779.44333,811.7793923,834.1509634,853.8132487,879.7651963,896.0641997,1128.773842,1082.139416,1088.248202,1171.217986,1168.279902,0.0,0.0,0.0,0.0,0.0,304161.796905518,3659.81989527629,2481.73351873799,2711.87418963146,2668.90648516311,2946.01165832258
